"country","LiteracyRateAllGenders","literacyRateByCountry_dataYear","educationRankingsByCountry_WT20rank2024","educationRankingsByCountry_rank2023","educationRankingsByCountry_rank2022","educationRankingsByCountry_rank2021","educationRankingsByCountry_rank2020"
"India",74,2018,101,34,34,32,34
"China",97,2020,13,23,23,22,24
"United States",,,31,1,1,1,1
"Indonesia",96,2020,67,58,52,54,55
"Pakistan",58,2019,136,,,,
"Nigeria",62,2018,191,,,,
"Brazil",94,2021,145,32,35,36,30
"Bangladesh",75,2020,122,84,80,,
"Russia",100,2021,22,27,25,23,21
"Ethiopia",52,2017,179,,,,
"Mexico",95,2020,39,40,41,37,36
"Japan",,,6,6,7,7,11
"Philippines",96,2019,71,52,50,55,52
"Egypt",75,2022,84,37,37,39,42
"DR Congo",81,2022,200,,,,
"Vietnam",96,2019,53,65,62,59,64
"Iran",89,2021,81,81,74,,
"Turkey",97,2019,37,30,31,31,31
"Germany",,,7,3,3,3,4
"Thailand",94,2021,107,44,48,46,48
"Tanzania",82,2022,149,,,,
"United Kingdom",,,12,2,2,2,2
"France",,,16,5,5,5,5
"South Africa",90,2021,114,41,36,33,32
"Italy",99,2018,36,14,13,14,16
"Kenya",83,2022,90,70,71,68,68
"Myanmar",89,2019,109,74,79,76,71
"Colombia",96,2020,74,54,56,51,49
"South Korea",,,1,19,19,19,22
"Uganda",81,2022,156,,,,
"Sudan",61,2018,138,,,,
"Spain",99,2020,20,17,18,17,18
"Iraq",,,188,,,77,
"Algeria",81,2018,73,67,67,,
"Argentina",99,2018,38,35,33,34,29
"Afghanistan",37,2021,146,,,,
"Poland",100,2021,23,25,27,26,23
"Canada",,,19,4,4,4,3
"Morocco",77,2022,113,56,58,57,57
"Ukraine",100,2021,166,48,43,40,38
"Angola",72,2022,196,,,,
"Saudi Arabia",98,2020,45,38,32,35,46
"Uzbekistan",100,2022,63,80,84,72,
"Yemen",70,2015,131,,,,
"Mozambique",63,2021,159,,,,
"Ghana",80,2020,106,77,69,,
"Peru",94,2020,77,68,64,64,59
