"country","UnemploymentRateWorldBank","UnemploymentRateWorldBankDataYear","UnemploymentRateILO","UnemploymentRateILODataYear","UnemploymentRateCIA","UnemploymentRateCIADataYear"
"India",6.4,2021,6.51,2019,5.98,2021
"China",5.1,2021,5.11,2021,4.82,2021
"United States",3.6,2022,5.35,2021,5.46,2021
"Indonesia",3.5,2022,3.83,2021,4.41,2021
"Pakistan",6.3,2021,6.34,2021,4.35,2021
"Nigeria",10.7,2019,10.7,2019,9.79,2021
"Brazil",9.2,2022,13.16,2021,14.4,2021
"Bangladesh",4.4,2017,4.37,2017,5.23,2021
"Russia",3.9,2022,4.72,2021,5.01,2021
"Ethiopia",3.9,2021,3.93,2021,3.69,2021
"Mexico",3.3,2022,4.09,2021,4.38,2021
"Japan",2.6,2022,2.8,2021,2.8,2021
"Philippines",3.4,2021,3.4,2021,2.41,2021
"Egypt",7.4,2021,7.94,2020,9.33,2021
"DR Congo",1.5,2020,1.47,2020,5.43,2021
"Vietnam",1.5,2022,2.38,2021,2.17,2021
"Iran",9.3,2021,9.69,2020,11.46,2021
"Germany",3.1,2022,3.57,2021,3.54,2021
"Thailand",0.9,2022,1.21,2021,1.42,2021
"Tanzania",2.8,2020,2.78,2020,2.65,2021
"United Kingdom",3.7,2019,3.74,2019,4.53,2021
"France",7.3,2022,7.86,2021,8.06,2021
"South Africa",28.8,2022,28.77,2021,33.56,2021
"Italy",8.1,2022,9.5,2021,9.83,2021
"Kenya",5.7,2021,5.01,2019,5.74,2021
"Myanmar",1.5,2020,1.48,2020,,
"Colombia",10.6,2022,13.9,2021,14.34,2021
"South Korea",2.9,2022,3.64,2021,3.53,2021
"Uganda",3.4,2021,3.64,2017,2.94,2021
"Sudan",17.4,2011,,,19.81,2021
"Spain",12.9,2022,14.78,2021,14.73,2021
"Iraq",16.2,2021,16.17,2021,14.19,2021
"Algeria",12,2017,12,2017,12.7,2021
"Argentina",8.7,2021,8.74,2021,10.9,2021
"Afghanistan",5.6,2021,5.58,2021,13.28,2021
"Poland",2.9,2022,3.36,2021,3.37,2021
"Canada",5.3,2022,7.46,2021,7.51,2021
"Morocco",12.3,2021,9.3,2016,11.47,2021
"Ukraine",9.8,2021,9.83,2021,8.88,2021
"Angola",15.8,2021,,,8.53,2021
"Saudi Arabia",5.6,2022,6.62,2021,7.36,2021
"Uzbekistan",5.3,2020,5.29,2020,7.16,2021
"Yemen",13.5,2014,,,13.57,2021
"Mozambique",3.4,2015,3.43,2015,3.98,2021
"Ghana",3.4,2017,3.37,2017,4.7,2021
"Peru",3.9,2022,5.1,2021,4.83,2021
"Malaysia",4.5,2020,4.54,2020,4.61,2021
"Nepal",10.7,2017,10.66,2017,5.05,2021
"Madagascar",1.8,2015,1.79,2015,2.59,2021
"Ivory Coast",,,2.4,2019,3.47,2021
"Venezuela",7.5,2020,7.53,2020,6.41,2021
"Cameroon",3.5,2014,,,3.87,2021
"Niger",7.8,2018,7.77,2017,0.75,2021
"Australia",3.7,2022,5.12,2021,5.11,2021
"North Korea",,,,,2.59,2021
"Syria",,,,,10.57,2021
"Mali",3.5,2020,3.53,2020,7.72,2021
"Taiwan",,,3.84,2020,3.73,2019
"Burkina Faso",4.7,2018,4.69,2018,4.76,2021
"Sri Lanka",,,5.36,2020,5.39,2021
"Malawi",0.9,2020,0.91,2020,7.02,2021
"Zambia",5.2,2021,5.2,2021,13.03,2021
"Kazakhstan",4.9,2022,4.89,2020,4.9,2021
"Chile",8.3,2022,9.28,2021,9.13,2021
"Romania",5.6,2022,5.59,2021,5.17,2021
